,fecha,titulo,descripcion
0,27/08/2021,Roban el auto del actor Tom Cruise mientras filmaba ‘Misión Imposible 7’,"El automóvil BMW X7 del actor de Hollywood Tom Cruise fue robado este viernes 27 de agosto de 2021 en Birmingham, Inglaterra, mientras filmaba Misión Imposible."
1,18/08/2021,Ciudadanos en Quito prendieron fuego a motocicleta de supuestos asaltantes,"Los habitantes del barrio Daniel Serrano de la parroquia de Guamaní, sur de Quito, incineraron una motocicleta en la que se movilizaban presuntos asaltantes."
2,14/08/2021,Peleador de la UFC evita que roben su auto: sacó a golpes a sospechoso,"A plena luz del día, un hombre intentó robar el vehículo de Jordan Williams, un peleador de la UFC que no dudó en atrapar con sus propias manos al sospechoso."
3,11/08/2021,Desconocidos retuvieron a una mujer y su hijo para robar una gasolinera en Tumbaco; amenazaron con hacer estallar una supuesta bomba,Desconocidos robaron cerca de USD 15 000 en efectivo de una de las oficinas. Para cometer el atraco amenazaron a una trabajadora con activar una bomba y hacerla estallar.
4,08/08/2021,Policías sometieron a sospechosos de robo en Puembo; una mujer los amenazaba con un cuchillo,"Dos agentes de la Policía habían esposado y detenido a una persona acusada de participar de un robo en Puembo, en el nororiente de Quito."
5,05/08/2021,Un militar fue entregado a la justicia; es indagado por supuesto asalto y robo de armamento de FF.AA.,La Fuerza Aérea Ecuatoriana (FAE) confirmó este 5 de agosto del 2021 que uno de sus solados fue entregado a la justicia.
6,03/08/2021,Más cajeros son atacados; se rastrea a bandas extranjeras,La Policía advierte que este es un nuevo fenómeno delictivo en el país. En el presente año ya se han registrado ocho ataques.
7,02/08/2021,Presunto ladrón se quedó dormido tras haber cometido varios robos,"Un insólito caso se presentó en Medellín, en el que un hombre, acusado de haber cometido un hurto fue capturado momentos después tras haberse dormido."
8,30/07/2021,Asaltantes hacen estallar dos cajeros automáticos en Machachi; hay temor,"Dos hombres hicieron explotar dos cajeros automáticos para sustraer dinero. El hecho ocurrió la madrugada de este viernes 30 de julio del 2021, en Machachi, cantón Mejía, al sur de Quito."
9,27/07/2021,El millonario robo perpetrado por cuatro adultos mayores en Londres,"cuatro hombres de la tercera edad fueron protagonistas de un astuto robo en Londres (Inglaterra), valorado por unos USD 21 millones en oro, joyas y piedras preciosas."
10,23/07/2021,Policías detienen a sospechoso en insólito hecho: queda atrapado en el auto que robó,"La Policía detuvo a un joven de 24 años, luego de que el hombre quedara atrapado dentro de un auto que, aparentemente, iba a robar en Bariloche, Argentina."
11,22/07/2021,Víctimas cuentan historias de ‘terror’ durante secuestros exprés,La Policía alerta que estas redes delictivas retienen hasta tres horas a las víctimas para robar su dinero y pertenencias.
12,21/07/2021,Disfrazados de repartidores asaltaron a comensales en un restaurante en el norte de Quito,Un grupo de motorizados asaltó con armas de fuego a los clientes de un local de comidas en el norte de Quito.
13,18/07/2021,"Agresor se sube a unidad de transporte para robar, pero pasajeros se resisten y lo ignoran","Uno de los temores que aquejan a los usuarios del transporte público es ser víctimas de la inseguridad.  En un insólito video se registra uno de estos sucesos, con la particularidad de que los pasajeros se resisten e ignoran al atacante."
14,18/07/2021,Más de 30 personas afectadas por repelente de osos que sospechoso usó para robar un local en Miami,"Entre 30 y 35 personas tuvieron que ser atendidas por personal médico, después de que un supuesto ladrón usase un repelente para osos para robar en una tienda de belleza en un conocido centro comercial de Miami, informan medios locales."
15,16/07/2021,Dos hombres se hacen pasar por empleados de compañía eléctrica y roban USD 250 000 en joyas a una mujer de 81 años,"Dos hombres que se hicieron pasar por empleados de una compañía eléctrica entraron en una vivienda de  Florida, EE.UU. y robaron USD 250 000 en joyas a una mujer de 81 años."
16,14/07/2021,Sospechosos son captados en intentos de robo en Guayaquil,Varios sospechosos fueron captados en cámaras mientras intentaban ejecutar un robo en la vía pública de Guayaquil.
17,13/07/2021,Entre viernes y domingo se reporta con mayor frecuencia sucesos violentos en tres provincias del Ecuador,"El ECU 911 informó este 13 de junio que se reciben con mayor frecuencia sucesos violentos los viernes, sábados y domingos en tres provincias."
18,10/07/2021,Insólito: un hombre acaricia a una perra y aprovecha para robarle la ropa,"Cámaras de seguridad captaron un insólito hecho en Sao Paulo, Brasil. Un hombre se aprovechó de la confianza que le dio una perrita y le robó la ropa que llevaba puesta."
19,06/07/2021,Roban una camioneta con un niño adentro en Colombia,"Momentos de angustia vivieron los integrantes de una familia en el barrio El Sosiego (Colombia) cuando fueron víctimas del robo de su camioneta, con un niño de diez años."
20,05/07/2021,"Cámaras de seguridad captan accionar de presuntos delincuentes en Pomasqui, al norte de Quito",Cámaras de seguridad ubicadas en distintos puntos de Pomasqui registran dos presuntos hechos delictivos cometidos en esta parroquia rural ubicada al norte de Quito. Video: Cortesía
21,05/07/2021,Cadena perpetua a policía que robó y mató para pagar viaje a Disney por el cumpleaños de su hija,La Justicia argentina condenó este lunes 5 de julio de 2021 a cadena perpetua a una expolicía por robar y asesinar a una pareja de ancianos para pagar un viaje a Disney World.
22,05/07/2021,"Rodrigo Pérez, el panadero asesinado, es recordado en la Loma de Puengasí",Las primeras indagaciones señalan que los asaltantes le dispararon dos veces. El hecho estremeció a la Loma de Puengasí.
23,30/06/2021,Testimonio de inseguridad: ‘El cinturón le salvó a mi esposo de que lo hirieran de gravedad durante un asalto’,Tres delincuentes ingresaron a una peluquería localizada en el barrio San José de Morán de Calderón para asaltar. Aquí el testimonio de una afectada.
24,29/06/2021,Un griego roba un cuadro de Picasso para poder disfrutar de él en casa,"Un obrero griego fue el cerebro del robo de un cuadro de Picasso titulado 'Cabeza de Mujer', que ha sido recuperado nueve años después."
25,29/06/2021,Testimonio de víctima de inseguridad: ‘Me hicieron secuestro exprés para robarme USD 500 de la cuenta’,"Rommel, de 28 años, fue víctima de un asalto al estilo secuestro exprés la tarde del 23 de junio del 2021 en Carapungo, norte de Quito."
26,28/06/2021,"‘Antes los asaltantes solo robaban el celular, el dinero o las joyas, pero ahora hacen daño a la víctima’, dice Alaín Luna, comandante de Policía de Quito","La capital tiene 68 muertes violentas. De ellas, 48 son por violencia interpersonal. Eso quiere decir riñas, peleas callejeras e incluso grescas familiares."
27,25/06/2021,Asaltantes lanzan a la calle el dinero robado en un centro comercial,"Personas armadas asaltaron el local de un centro comercial de Machala y lanzaron el dinero robado a la calle, para evitar ser capturados. Una persona grabó el momento en el que la Policía resguardaba el sector en donde cayeron los billetes. Video: Redes sociales"
28,25/06/2021,Dueño de panadería es asesinado por asaltantes en Quito,El propietario de una panadería fue asesinado a las 05:30 de este viernes 25 de junio del 2021 en la Loma de Puengasí.
29,24/06/2021,Indignación por el robo del dinero donado a la virgen Caridad del Cobre en San Clemente,"El dinero de dos años de donaciones fue robado por personas desconocidas que desbalijaron a la virgen Caridad del Cobre, en la calle principal del balneario San Clemente, en Manabí, provincia costera del Ecuador."
30,22/06/2021,Personas saquean la mercadería de un camión accidentado en Perú,Un camión de carga perdió pista y se accidentó en Perú. El vehículo quedó volcado sobre uno de los costados de la carrocería y bloqueó el paso de los automotores.
31,18/06/2021,Banda delictiva utiliza explosivos para robar en un cajero de Tumbaco,"Cinco encapuchados utilizaron explosivos para sustraer el dinero de un cajero automático en Tumbaco, oriente de Quito."
32,17/06/2021,Víctima de inseguridad en Quito: ‘Apuntó a mi esposo y me quedé paralizada’,Una ciudadana que tiene un negocio en el Centro Histórico de Quito cuenta su testimonio de cómo fue víctima de la inseguridad en el sector.
33,17/06/2021,Armados que asaltaban a clientes y locales en Quito fueron capturados,El rastreo de un celular permitió la captura de cinco jóvenes que integrarían una banda delictiva que se dedicaba al asalto de negocios y personas en Quito.
34,16/06/2021,Un policía debe usar un grillete y otro no podrá abandonar el país tras la muerte de dos sospechosos de robo; los agentes son indagados,"La mañana de hoy, miércoles, 16 de junio del 2021, un juez de garantías penales ordenó la colocación de un grillete electrónico y la prohibición de salida del país para dos servidores policiales."
35,15/06/2021,Video capta asalto con armas de fuego a local de comidas en Quito,Un robo a un local de comidas en Quito fue captado por una cámara de seguridad la noche del lunes 15 de junio del 2021.
36,15/06/2021,Cámara de seguridad registra asalto a local de comidas en Quito,"Una cámara de seguridad captó la noche del lunes 14 de junio del 2021 cómo un grupo de personas llega en motocicletas a un local de comidas en el norte de Quito y, con armas de fuego, proceden a robar. Video: Cortesía"
37,12/06/2021,Policías ‘celebran’ en una comisaría el cumpleaños de un detenido por robo,"""No podemos dejar pasar una fecha como ésta"". Así inicia el video de unos policías de Brasil celebrando el cumpleaños de un joven detenido."
38,11/06/2021,Agente metropolitana fue apuñalada en el brazo mientras colaboraba en un proceso de detención a un sospechoso de robo,La agresión se produjo mientras la agente metropolitana realizaba controles junto a sus compañeros del Grupo de Apoyo a la Seguridad del Transporte Público.
39,09/06/2021,Banda delictiva utilizó explosivos para intentar robar el dinero de un cajero en el norte de Quito,"Una banda delictiva trató de robar el dinero de un cajero automático ubicado en la avenida Edmundo Carvajal y calle C, cerca al centro comercial El Bosque, en el noroccidente de Quito."
40,08/06/2021,"Roban pierna ortopédica con dibujos de superhéroes, valorada en USD 15 000",La Policía de la ciudad floridana de St. Petersburg pidió a la población ayuda para localizar una pierna ortopédica valorada en miles de dólares.
41,04/06/2021,Testimonio de inseguridad en Cumbayá: ‘Los delincuentes nos arrinconaron contra la pared y nos apuntaron con armas de fuego’,Un asalto a dos mujeres deportistas se produjo a las 06:00 del miércoles 2 de junio del 2021 en la calle Francisco de Orellana de Cumbayá.
